name_cn,name_en,level,type,parent_province_cn,is_provincial_capital,is_sub_provincial,notes,covered,our_docs,our_site_keys
河北省,Hebei,provincial,province,,,,省会 石家庄,,0,
山西省,Shanxi,provincial,province,,,,省会 太原,,0,
辽宁省,Liaoning,provincial,province,,,,省会 沈阳,Y,804,liaoning;ln_czt;ln_fgw;ln_gxt;ln_jyt;ln_kjt;ln_rst;ln_sthj;ln_swt
吉林省,Jilin,provincial,province,,,,省会 长春,Y,684,jilin;jl_czt;jl_gxt;jl_hrss;jl_jldrc;jl_jyt;jl_kjt;jl_sthjt;jl_swt;jl_zrzy
黑龙江省,Heilongjiang,provincial,province,,,,省会 哈尔滨,Y,2277,hlj
江苏省,Jiangsu,provincial,province,,,,省会 南京,Y,1215,js_czt;js_fzggw;js_gxt;js_jtyst;js_kxjst;js_mzt;js_nynct;js_scjgj;js_sft;js_sthjt;js_wjw;js_ybj
浙江省,Zhejiang,provincial,province,,,,省会 杭州,Y,313,zj
安徽省,Anhui,provincial,province,,,,省会 合肥,,0,
福建省,Fujian,provincial,province,,,,省会 福州,Y,8413,fj_bb;fj_czt;fj_fgw;fj_gat;fj_gdb;fj_gdj;fj_gxt;fj_gzw;fj_hyyyj;fj_jgswglj;fj_jtyst;fj_jyt;fj_kjt;fj_lsj;fj_lyj;fj_mzt;fj_mzzjt;fj_nynct;fj_qb;fj_rst;fj_scjgj;fj_sft;fj_sjt;fj_slt;fj_sthjt;fj_swt;fj_tjj;fj_tyj;fj_tyjrswt;fj_wb;fj_wjw;fj_wlt;fj_xfj;fj_xxzx;fj_ybj;fj_yjt;fj_zjt;fj_zrzyt;fujian
江西省,Jiangxi,provincial,province,,,,省会 南昌,,0,
山东省,Shandong,provincial,province,,,,省会 济南,Y,697,sd_commerce;sd_czt;sd_edu;sd_gxt;sd_kjt;shandong
河南省,Henan,provincial,province,,,,省会 郑州,,0,
湖北省,Hubei,provincial,province,,,,省会 武汉,,0,
湖南省,Hunan,provincial,province,,,,省会 长沙,Y,458,hn_czt;hn_fgw;hn_gxt;hn_jyt;hn_kjt;hn_rst;hn_sthjt;hn_swt;hn_zrzyt;hunan
