name_cn,name_en,level,type,parent_province_cn,is_provincial_capital,is_sub_provincial,notes
河北省,Hebei,provincial,province,,,,省会 石家庄
山西省,Shanxi,provincial,province,,,,省会 太原
辽宁省,Liaoning,provincial,province,,,,省会 沈阳
吉林省,Jilin,provincial,province,,,,省会 长春
黑龙江省,Heilongjiang,provincial,province,,,,省会 哈尔滨
江苏省,Jiangsu,provincial,province,,,,省会 南京
浙江省,Zhejiang,provincial,province,,,,省会 杭州
安徽省,Anhui,provincial,province,,,,省会 合肥
福建省,Fujian,provincial,province,,,,省会 福州
江西省,Jiangxi,provincial,province,,,,省会 南昌
山东省,Shandong,provincial,province,,,,省会 济南
河南省,Henan,provincial,province,,,,省会 郑州
湖北省,Hubei,provincial,province,,,,省会 武汉
湖南省,Hunan,provincial,province,,,,省会 长沙
广东省,Guangdong,provincial,province,,,,省会 广州
海南省,Hainan,provincial,province,,,,省会 海口
四川省,Sichuan,provincial,province,,,,省会 成都
贵州省,Guizhou,provincial,province,,,,省会 贵阳
云南省,Yunnan,provincial,province,,,,省会 昆明
陕西省,Shaanxi,provincial,province,,,,省会 西安
甘肃省,Gansu,provincial,province,,,,省会 兰州
青海省,Qinghai,provincial,province,,,,省会 西宁
台湾省,Taiwan,provincial,province,,,,claimed; 省会 台北; prefectures not enumerated
内蒙古自治区,Inner Mongolia,provincial,autonomous_region,,,,首府 呼和浩特
广西壮族自治区,Guangxi,provincial,autonomous_region,,,,首府 南宁
西藏自治区,Tibet,provincial,autonomous_region,,,,首府 拉萨
宁夏回族自治区,Ningxia,provincial,autonomous_region,,,,首府 银川
新疆维吾尔自治区,Xinjiang,provincial,autonomous_region,,,,首府 乌鲁木齐
北京市,Beijing,provincial,municipality,,,,直辖市
上海市,Shanghai,provincial,municipality,,,,直辖市
天津市,Tianjin,provincial,municipality,,,,直辖市
重庆市,Chongqing,provincial,municipality,,,,直辖市
香港特别行政区,Hong Kong,provincial,SAR,,,,特别行政区
澳门特别行政区,Macau,provincial,SAR,,,,特别行政区
石家庄市,Shijiazhuang,prefecture,prefecture_city,河北省,Y,,省会
唐山市,Tangshan,prefecture,prefecture_city,河北省,,,
秦皇岛市,Qinhuangdao,prefecture,prefecture_city,河北省,,,
邯郸市,Handan,prefecture,prefecture_city,河北省,,,
邢台市,Xingtai,prefecture,prefecture_city,河北省,,,
保定市,Baoding,prefecture,prefecture_city,河北省,,,
张家口市,Zhangjiakou,prefecture,prefecture_city,河北省,,,
承德市,Chengde,prefecture,prefecture_city,河北省,,,
沧州市,Cangzhou,prefecture,prefecture_city,河北省,,,
廊坊市,Langfang,prefecture,prefecture_city,河北省,,,
衡水市,Hengshui,prefecture,prefecture_city,河北省,,,
太原市,Taiyuan,prefecture,prefecture_city,山西省,Y,,省会
大同市,Datong,prefecture,prefecture_city,山西省,,,
阳泉市,Yangquan,prefecture,prefecture_city,山西省,,,
长治市,Changzhi,prefecture,prefecture_city,山西省,,,
晋城市,Jincheng,prefecture,prefecture_city,山西省,,,
朔州市,Shuozhou,prefecture,prefecture_city,山西省,,,
晋中市,Jinzhong,prefecture,prefecture_city,山西省,,,
运城市,Yuncheng,prefecture,prefecture_city,山西省,,,
忻州市,Xinzhou,prefecture,prefecture_city,山西省,,,
临汾市,Linfen,prefecture,prefecture_city,山西省,,,
吕梁市,Lliang,prefecture,prefecture_city,山西省,,,romanization: Lyliang/Lyuliang
沈阳市,Shenyang,prefecture,prefecture_city,辽宁省,Y,Y,省会
大连市,Dalian,prefecture,prefecture_city,辽宁省,,Y,计划单列市
鞍山市,Anshan,prefecture,prefecture_city,辽宁省,,,
抚顺市,Fushun,prefecture,prefecture_city,辽宁省,,,
本溪市,Benxi,prefecture,prefecture_city,辽宁省,,,
丹东市,Dandong,prefecture,prefecture_city,辽宁省,,,
锦州市,Jinzhou,prefecture,prefecture_city,辽宁省,,,
营口市,Yingkou,prefecture,prefecture_city,辽宁省,,,
阜新市,Fuxin,prefecture,prefecture_city,辽宁省,,,
辽阳市,Liaoyang,prefecture,prefecture_city,辽宁省,,,
盘锦市,Panjin,prefecture,prefecture_city,辽宁省,,,
铁岭市,Tieling,prefecture,prefecture_city,辽宁省,,,
朝阳市,Chaoyang,prefecture,prefecture_city,辽宁省,,,
葫芦岛市,Huludao,prefecture,prefecture_city,辽宁省,,,
长春市,Changchun,prefecture,prefecture_city,吉林省,Y,Y,省会
吉林市,Jilin,prefecture,prefecture_city,吉林省,,,
四平市,Siping,prefecture,prefecture_city,吉林省,,,
辽源市,Liaoyuan,prefecture,prefecture_city,吉林省,,,
通化市,Tonghua,prefecture,prefecture_city,吉林省,,,
白山市,Baishan,prefecture,prefecture_city,吉林省,,,
松原市,Songyuan,prefecture,prefecture_city,吉林省,,,
白城市,Baicheng,prefecture,prefecture_city,吉林省,,,
延边朝鲜族自治州,Yanbian,prefecture,autonomous_prefecture,吉林省,,,
哈尔滨市,Harbin,prefecture,prefecture_city,黑龙江省,Y,Y,省会
齐齐哈尔市,Qiqihar,prefecture,prefecture_city,黑龙江省,,,
鸡西市,Jixi,prefecture,prefecture_city,黑龙江省,,,
鹤岗市,Hegang,prefecture,prefecture_city,黑龙江省,,,
双鸭山市,Shuangyashan,prefecture,prefecture_city,黑龙江省,,,
大庆市,Daqing,prefecture,prefecture_city,黑龙江省,,,
伊春市,Yichun,prefecture,prefecture_city,黑龙江省,,,
佳木斯市,Jiamusi,prefecture,prefecture_city,黑龙江省,,,
七台河市,Qitaihe,prefecture,prefecture_city,黑龙江省,,,
牡丹江市,Mudanjiang,prefecture,prefecture_city,黑龙江省,,,
黑河市,Heihe,prefecture,prefecture_city,黑龙江省,,,
