rank,normalized_ref,demand,kind,target_level,citation_types,inferred_issuer,inferred_institution,inferred_site,coverage_status
1,惠州市加强建设项目征地拆迁管理规定,513,title,unknown,named:513,,Huizhou (惠州),huizhou,have
2,中华人民共和国道路交通安全法,399,title,unknown,llm:399,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
3,广东省控制性详细规划管理条例,340,title,provincial,named:340+llm:52,,Guangdong (广东),gd,have
4,新型冠状病毒肺炎防控方案（第九版）,314,title,unknown,named:313+llm:3,,unknown,,unknown
5,粤自然资发〔2021〕3号,240,formal,unknown,formal:240,粤自然资发,Guangdong (广东),gd,have
6,中山市控制性详细规划管理实施细则（试行）,225,title,unknown,named:224+llm:12,,Zhongshan (中山),zhongshan,have
7,关于进一步优化新冠肺炎疫情防控措施科学精准做好防控工作的通知,220,title,unknown,named:220,,unknown,,unknown
8,中山市人民政府办公室关于加强城市总体规划实施管理的通知,191,title,unknown,named:191+llm:1,中府办,Zhongshan (中山),zhongshan,have
9,中府办〔2013〕41号,188,formal,unknown,formal:188,中府办,Zhongshan (中山),zhongshan,have
10,认证认可条例,176,title,unknown,named:165+llm:50,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
11,粤国土资利用发〔2011〕21号,171,formal,unknown,formal:171,粤国土资利用发,Guangdong (广东),gd,have
12,广东省突发事件总体应急预案,166,title,provincial,llm:166,粤府函,Guangdong (广东),gd,have
13,深圳市财政局政府采购供应商信用信息管理办法,166,title,municipal,named:166+llm:97,深财规,Shenzhen (深圳),sz,have
14,公务员录用体检通用标准（试行）,165,title,unknown,named:158+llm:16,,unknown,,unknown
15,中山市城市总体规划（2010-2020）,146,title,unknown,named:145+llm:15,,Zhongshan (中山),zhongshan,have
16,粤国土资发〔2006〕149号,139,formal,unknown,formal:139,粤国土资发,Guangdong (广东),gd,have
17,统计法实施条例,132,title,unknown,named:121+llm:26,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
18,中山市城乡规划技术标准与准则,131,title,unknown,named:131+llm:1,,Zhongshan (中山),zhongshan,have
19,事业单位公开招聘违纪违规行为处理规定,131,title,unknown,named:131+llm:9,,unknown,,unknown
20,苏住建规〔2011〕4号,130,formal,unknown,formal:130,苏住建规,Jiangsu (江苏),js,have
21,财库〔2022〕4号,130,formal,unknown,formal:130,财库,Ministry of Finance (财政部),,have
22,《地名标志》（GB17733-2008）,129,title,unknown,llm:129,,unknown,,unknown
23,广东省征地补偿保护标准（粤国土资发〔2006〕149号）,119,title,provincial,llm:119,粤国土资发,Guangdong (广东),gd,have
24,惠州市加强建设项目征地拆迁管理规定（惠府令第86号）,118,title,unknown,llm:118,,Huizhou (惠州),huizhou,have
25,苏住建规〔2012〕8号,118,formal,unknown,formal:118,苏住建规,Jiangsu (江苏),js,have
26,国家中长期科学和技术发展规划纲要（2006-2020年）,115,title,central,named:114+llm:5,,unknown,,unknown
27,深圳市行政听证办法,109,title,municipal,named:109+llm:23,,Shenzhen (深圳),sz,have
28,治安管理处罚条例,108,title,unknown,named:107+llm:3,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
29,深财规〔2023〕3号,105,formal,unknown,formal:105,深财规,Shenzhen (深圳),sz,have
30,法治政府建设实施纲要（2021—2025年,103,title,unknown,named:104+llm:22,,unknown,,unknown
31,山东省政府信息公开办法,101,title,provincial,named:101+llm:25,,Shandong (山东),shandong,have
32,律师事务所年度检查考核办法,100,title,unknown,named:100+llm:30,,unknown,,unknown
33,粤国土资规字〔2016〕1号,100,formal,unknown,formal:100,粤国土资规字,Guangdong (广东),gd,have
34,计量法实施细则,94,title,unknown,named:88+llm:18,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
35,中山市城市、镇控制性详细规划管理办法,93,title,unknown,named:93+llm:7,,Zhongshan (中山),zhongshan,have
36,律师执业年度考核规则,93,title,unknown,llm:93,,unknown,,unknown
37,广东省律师执业年度考核管理办法（试行）,92,title,provincial,named:92+llm:28,粤律协,Guangdong (广东),gd,have
38,公务员录用体检特殊标准(试行),91,title,unknown,named:91+llm:5,,unknown,,unknown
39,国家税务总局公告2018年第31号,91,title,central,llm:91,,State Taxation Administration (税务总局),,have
40,深圳市城市规划标准与准则,89,title,municipal,named:89+llm:9,,Shenzhen (深圳),sz,have
41,广东省公务员录用体检工作实施细则（试行）,82,title,provincial,named:82+llm:6,,Guangdong (广东),gd,have
42,惠州市加强建设项目征地拆迁管理规定（惠府令第67号）,78,title,unknown,llm:78,,Huizhou (惠州),huizhou,have
43,知识产权强国建设纲要(2021—2035年),77,title,unknown,named:78+llm:6,,unknown,,unknown
44,苏住建规〔2012〕9号,77,formal,unknown,formal:77,苏住建规,Jiangsu (江苏),js,have
45,深圳市教育局机关政府采购管理办法,73,title,municipal,named:73+llm:25,深教,Shenzhen (深圳),sz,have
46,关于加强城市设计和建筑特色管理的若干指引（试行）,72,title,unknown,named:72+llm:31,,unknown,,unknown
47,中华人民共和国外汇管理条例,70,title,unknown,named:70+llm:13,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
48,深圳市科技创新委员会关于创新型产业用房管理的实施细则,70,title,municipal,named:70+llm:41,深科技创新规,Shenzhen (深圳),sz,have
49,深圳市安居型商品房轮候与配售办法,69,title,municipal,named:68+llm:8,,Shenzhen (深圳),sz,have
