# Master coverage ledger — every Chinese-gov institution we know of + its status.
# status: have | api | spa | blocked | pending. Grown each crawler round.
level,institution,site_key,docs,status,method,limitation
central,National Laws Database (国家法律法规数据库),npc,29208,have,crawler,
central,State Council,gov,20175,have,crawler,
central,Science & Technology Daily (科技日报),stdaily,9166,have,crawler,
central,Ministry of Industry and Information Technology,miit,5384,have,crawler,
central,State Taxation Administration (国家税务总局),chinatax,5004,have,crawler,
central,State Administration for Market Regulation,samr,3852,have,crawler,
central,Ministry of Commerce,mofcom,3056,have,crawler,
central,Cyberspace Administration of China,cac,2295,have,crawler,
central,National Development and Reform Commission,ndrc,1652,have,crawler,
central,Ministry of Science and Technology,most,1592,have,crawler,
central,Ministry of Finance,mof,1373,have,crawler,
central,State Information Center (国家信息中心),sic,1160,have,crawler,
central,Ministry of Transport (交通运输部),mot,1080,have,crawler,
central,Ministry of Ecology and Environment,mee,592,have,crawler,
central,National Data Administration,nda,459,have,crawler,
central,Supreme Court IP Tribunal (最高人民法院知识产权法庭),ipc_court,355,have,crawler,
central,Ministry of Education (教育部),moe,344,have,crawler,
central,Central Political & Legal Affairs Commission (中央政法委),chinapeace,334,have,crawler,
central,China Securities Regulatory Commission (证监会),csrc,190,have,crawler,
central,National IP Administration (国家知识产权局),cnipa,165,have,crawler,
central,National Healthcare Security Admin (国家医保局),nhsa,156,have,crawler,
central,Civil Aviation Administration (中国民用航空局),caac,119,have,crawler,
central,CPPCC National Committee (全国政协),cppcc,119,have,crawler,
central,Supreme People's Court (最高人民法院),spc,114,have,crawler,
central,National Archives Administration (国家档案局),saac,93,have,crawler,
central,CPC Members Network (共产党员网),dangyuan,81,have,crawler,
central,National Administration of TCM (国家中医药管理局),natcm,75,have,crawler,
central,Chinese Academy of Sciences (中国科学院),cas,74,have,crawler,
central,National Audit Office (审计署),cnao,69,have,crawler,
central,National Natural Science Foundation (国家自然科学基金委),nsfc,63,have,crawler,
central,Ministry of Water Resources (水利部),mwr,60,have,crawler,
central,National Food & Strategic Reserves Admin (国家粮食和物资储备局),nfsra,50,have,crawler,
central,Radio & Television Admin (广电总局),nrta,47,have,crawler,
central,China Meteorological Administration (中国气象局),cma,46,have,crawler,
central,National Bureau of Statistics (国家统计局),nbs,44,have,crawler,
central,Supreme People's Procuratorate (最高人民检察院),spp,40,have,crawler,
central,State-owned Assets Supervision & Admin Commission (国资委),sasac,33,have,crawler,
central,Ministry of Culture & Tourism (文旅部),mct,28,have,crawler,
central,People's Bank of China (中国人民银行),pbc,27,have,crawler,
central,National Cultural Heritage Administration (国家文物局),ncha,26,have,crawler,
central,Ministry of Agriculture & Rural Affairs (农业农村部),mara,24,have,crawler,
central,National Immigration Administration (国家移民管理局),nia,21,have,crawler,
central,Ministry of Justice (司法部),moj,20,have,crawler,
central,State Administration of Foreign Exchange (国家外汇管理局),safe,20,have,crawler,
central,National Forestry & Grassland Administration (国家林业和草原局),sfa,20,have,crawler,
central,National Cybersecurity Standardization TC (网安标委 TC260),tc260,19,have,crawler,
central,Ministry of Veterans Affairs (退役军人事务部),mva,15,have,crawler,
central,State Post Bureau (国家邮政局),spb,12,have,crawler,
central,State Admin for Sci-Tech & Industry for Nat'l Defense (国防科工局),sastind,8,have,crawler,
central,China National Space Administration (国家航天局),cnsa,4,have,crawler,
central,Ministry of Foreign Affairs (外交部),mfa,4,have,crawler,
central,Ministry of Emergency Management (应急管理部),mem,2,have,crawler,
department,Public Security Bureau,ga,5093,have,crawler,
department,Civil Affairs Bureau,mzj,4847,have,crawler,
department,Human Resources & Social Security,hrss,3106,have,crawler,
department,Commerce Bureau,swj,2920,have,crawler,
department,Transport Bureau,jtys,2903,have,crawler,
department,Housing & Construction Bureau,zjj,2620,have,crawler,
department,S&T Innovation Bureau,stic,2496,have,crawler,
department,Justice Bureau,sf,2033,have,crawler,
department,Emergency Management Bureau,yjgl,2018,have,crawler,
department,Education Bureau,szeb,2012,have,crawler,
department,Development & Reform Commission,fgw,1953,have,crawler,
department,Health Commission,wjw,1262,have,crawler,
department,Audit Bureau,audit,475,have,crawler,
district,Dapeng New District,szdp,8586,have,crawler,
district,Longhua District,szlhq,6280,have,crawler,
district,Longgang District,szlg,3893,have,crawler,
district,Pingshan District,szpsq,1635,have,crawler,
district,Guangming District,szgm,913,have,crawler,
district,Luohu District,szlh,762,have,crawler,
district,Nanshan District,szns,309,have,crawler,
district,Futian District,szft,211,have,crawler,
district,Beijing Xicheng District (北京西城区),bjd_xicheng,80,have,crawler,
district,Beijing Daxing District (北京大兴区),bjd_daxing,77,have,crawler,
district,Beijing Tongzhou District (北京通州区),bjd_tongzhou,77,have,crawler,
district,Chongqing Yuzhong District (重庆渝中区),cqd_yuzhong,77,have,crawler,
district,Beijing Huairou District (北京怀柔区),bjd_huairou,65,have,crawler,
district,Beijing Shijingshan District (北京石景山区),bjd_shijingshan,60,have,crawler,
district,Beijing Pinggu District (北京平谷区),bjd_pinggu,58,have,crawler,
district,Nanjing Jiangning District (南京江宁区),njd_jiangning,58,have,crawler,
district,Beijing Dongcheng District (北京东城区),bjd_dongcheng,57,have,crawler,
district,Beijing Fengtai District (北京丰台区),bjd_fengtai,47,have,crawler,
district,Beijing Fangshan District (北京房山区),bjd_fangshan,46,have,crawler,
district,Beijing Miyun District (北京密云区),bjd_miyun,45,have,crawler,
district,Wuhan Qiaokou District (武汉硚口区),whd_qiaokou,44,have,crawler,
district,Beijing Haidian District (北京海淀区),bjd_haidian,42,have,crawler,
district,Beijing Mentougou District (北京门头沟区),bjd_mentougou,42,have,crawler,
district,Chongqing Jiulongpo District (重庆九龙坡区),cqd_jiulongpo,42,have,crawler,
district,Wuhan East Lake High-Tech Zone (武汉东湖高新区),whd_donghu,37,have,crawler,
district,Nanjing Gulou District (南京鼓楼区),njd_gulou,30,have,crawler,
district,Wuhan Wuchang District (武汉武昌区),whd_wuchang,27,have,crawler,
district,Wuhan Jiang'an District (武汉江岸区),whd_jiangan,17,have,crawler,
district,Wuhan Jianghan District (武汉江汉区),whd_jianghan,17,have,crawler,
district,Wuhan Hongshan District (武汉洪山区),whd_hongshan,16,have,crawler,
media,Guancha / Observer Network (观察者网),guancha,8928,have,crawler,
media,Phoenix News (凤凰网风声),ifeng,5309,have,crawler,
media,Xinhua News Agency (新华社/新华网),xinhua,4425,have,crawler,
media,QbitAI (量子位 · AI media),qbitai,3115,have,crawler,
media,People's Daily (人民日报),people,1600,have,crawler,
media,36Kr (36氪),36kr,475,have,crawler,
media,LatePost (晚点LatePost),latepost,290,have,crawler,
media,Elsewhere (别处 · VC/AI tech news),elsewhere,131,have,crawler,
media,Qiushi (求是网),qstheory,130,have,crawler,
media,CCTV News (央视新闻),cctv,1,have,crawler,
media,China National Radio (央广网),cnr,1,have,crawler,
media,Xinhua news.cn (新华社),newscn,1,have,crawler,
media,People's Daily App (人民日报客户端),peopleapp,1,have,crawler,
media,The Paper (澎湃新闻),thepaper,1,have,crawler,
municipal,Jieyang,jieyang,5872,have,crawler,
municipal,Zhongshan,zhongshan,5152,have,crawler,
municipal,Suzhou Municipality,suzhou,4898,have,crawler,
municipal,Jiangmen,jiangmen,4241,have,crawler,
municipal,Huizhou,huizhou,3826,have,crawler,
municipal,Heyuan,heyuan,3777,have,crawler,
municipal,Guangzhou,gz,3656,have,crawler,
municipal,Shanwei,shanwei,3610,have,crawler,
municipal,Zhuhai,zhuhai,3540,have,crawler,
municipal,Shenzhen Investment Portal,sz_invest,2761,have,crawler,
municipal,Yangjiang,yangjiang,2355,have,crawler,
municipal,Shaoguan,shaoguan,1613,have,crawler,
municipal,Shenzhen Main Portal,sz,1027,have,crawler,
municipal,Wuhan Municipality,wuhan,1002,have,crawler,
municipal,Chongqing Municipality,cq,706,have,crawler,
municipal,Yunfu,yunfu,658,have,crawler,
municipal,Qingdao (青岛市),qingdao,276,have,crawler,
municipal,Shenyang (沈阳市),shenyang,96,have,crawler,
municipal,Beijing Commerce Bureau (北京市商务局),bjb_swj,50,have,crawler,
municipal,Hangzhou Municipality,hangzhou,49,have,crawler,
municipal,Shantou,shantou,49,have,crawler,
municipal,Beijing Ecology & Environment Bureau (北京市生态环境局),bjb_sthjj,45,have,crawler,
municipal,Shanghai S&T Commission (上海市科委),shb_stcsm,45,have,crawler,
municipal,Beijing S&T Commission (北京市科委),bjb_kw,43,have,crawler,
municipal,Shanghai DRC (上海市发改委),shb_fgw,36,have,crawler,
municipal,Beijing Economy & IT Bureau (北京市经信局),bjb_jxj,33,have,crawler,
municipal,Beijing DRC (北京市发改委),bjb_fgw,30,have,crawler,
municipal,Shanghai HR & Social Security Bureau (上海市人社局),shb_rsj,24,have,crawler,
municipal,Beijing HR & Social Security Bureau (北京市人社局),bjb_rsj,21,have,crawler,
municipal,Shanghai Planning & Natural Resources Bureau (上海市规划资源局),shb_ghzyj,20,have,crawler,
municipal,Shanghai Commerce Commission (上海市商务委),shb_sww,20,have,crawler,
municipal,Beijing Finance Bureau (北京市财政局),bjb_czj,12,have,crawler,
municipal,Beijing Planning & Natural Resources Commission (北京市规划自然资源委),bjb_ghzrzyw,10,have,crawler,
municipal,Jinan (济南市),jinan,6,have,crawler,
municipal,Shanghai Economy & Informatization Commission (上海市经信委),shb_sheitc,2,have,crawler,
provincial,Guangdong Province,gd,6216,have,crawler,
provincial,Shanghai Municipality,sh,3852,have,crawler,
provincial,Heilongjiang Province,hlj,2277,have,crawler,
provincial,Beijing Municipality,bj,1943,have,crawler,
provincial,Jiangsu Province,js,1094,have,crawler,
provincial,Shandong Province (山东省),shandong,495,have,crawler,
provincial,福建省退役军人事务厅,fj_tyjrswt,493,have,crawler,
provincial,Guangdong Statistics Bureau (统计局),gdstats,450,have,crawler,
provincial,Guangdong Healthcare Security Bureau (医保局),gdhsa,447,have,crawler,
provincial,Guangdong Education Dept (教育厅),gdedu,350,have,crawler,
provincial,Guangdong Transport Dept (交通运输厅),gdjt,348,have,crawler,
provincial,Guangdong Health Commission (卫健委),gdwjw,348,have,crawler,
provincial,Guangdong Development & Reform Commission (发改委),gddrc,347,have,crawler,
provincial,福建省粮食和物资储备局,fj_lsj,336,have,crawler,
provincial,福建省经济信息中心,fj_xxzx,334,have,crawler,
provincial,Zhejiang Province (Depts),zj,313,have,crawler,
provincial,Guangdong Commerce Dept (商务厅),gdcom,300,have,crawler,
provincial,Guangdong Culture & Tourism Dept (文旅厅),gdct,300,have,crawler,
provincial,Guangdong Ecology & Environment Dept (生态环境厅),gdee,300,have,crawler,
provincial,Guangdong Civil Affairs Dept (民政厅),gdmz,300,have,crawler,
provincial,Guangdong Science & Tech Dept (科技厅),gdstc,300,have,crawler,
provincial,Guangdong Finance Dept (财政厅),gdczt,299,have,crawler,
provincial,Guangdong Natural Resources Dept (自然资源厅),gdnr,299,have,crawler,
provincial,Guangdong Housing & Construction Dept (住建厅),gdzjst,299,have,crawler,
provincial,福建省科学技术厅,fj_kjt,297,have,crawler,
provincial,Guangdong Industry & IT Dept (工信厅),gdii,296,have,crawler,
provincial,福建省广播电视局,fj_gdj,293,have,crawler,
provincial,福建省审计厅,fj_sjt,271,have,crawler,
provincial,福建省民政厅,fj_mzt,257,have,crawler,
provincial,Guangdong Agriculture & Rural Affairs Dept (农业农村厅),gdny,249,have,crawler,
provincial,福建省工业和信息化厅,fj_gxt,242,have,crawler,
provincial,Liaoning Province (辽宁省),liaoning,232,have,crawler,
provincial,福建省发展和改革委员会,fj_fgw,230,have,crawler,
provincial,福建省海洋与渔业局,fj_hyyyj,230,have,crawler,
provincial,福建省司法厅,fj_sft,229,have,crawler,
provincial,福建省生态环境厅,fj_sthjt,229,have,crawler,
provincial,福建省国防动员办公室,fj_gdb,227,have,crawler,
provincial,福建省人民政府国有资产监督管理委员会,fj_gzw,226,have,crawler,
provincial,福建省人力资源和社会保障厅,fj_rst,213,have,crawler,
provincial,Guangdong Forestry Bureau (林业局),gdlyj,199,have,crawler,
provincial,福建省民族与宗教事务厅,fj_mzzjt,198,have,crawler,
provincial,福建省水利厅,fj_slt,194,have,crawler,
provincial,福建省应急管理厅,fj_yjt,189,have,crawler,
provincial,福建省统计局,fj_tjj,183,have,crawler,
