npc|National Laws Database (国家法律法规数据库)|central|29208
gov|State Council|central|20181
stdaily|Science & Technology Daily (科技日报)|media|12307
guancha|Guancha / Observer Network (观察者网)|media|11597
szdp|Dapeng New District|district|8586
bj|Beijing Municipality|provincial|8421
ifeng|Phoenix News (凤凰网风声)|media|6994
miit|Ministry of Industry and Information Technology|central|6580
szlhq|Longhua District|district|6280
gd|Guangdong Province|provincial|6216
jieyang|Jieyang|municipal|5872
js|Jiangsu Province|provincial|5231
zhongshan|Zhongshan|municipal|5152
ga|Public Security Bureau|department|5093
chinatax|State Taxation Administration (国家税务总局)|central|5015
xinhua|Xinhua News Agency (新华社/新华网)|media|4976
suzhou|Suzhou Municipality|municipal|4908
mzj|Civil Affairs Bureau|department|4847
jiangmen|Jiangmen|municipal|4410
samr|State Administration for Market Regulation|central|4093
sh|Shanghai Municipality|provincial|4008
szlg|Longgang District|district|3893
huizhou|Huizhou|municipal|3826
heyuan|Heyuan|municipal|3777
zhuhai|Zhuhai|municipal|3706
gz|Guangzhou|municipal|3656
shanwei|Shanwei|municipal|3610
qbitai|QbitAI (量子位 · AI media)|media|3329
mof|Ministry of Finance|central|3319
hrss|Human Resources & Social Security|department|3106
mofcom|Ministry of Commerce|central|3062
swj|Commerce Bureau|department|2920
jtys|Transport Bureau|department|2903
sz_invest|Shenzhen Investment Portal|municipal|2761
zjj|Housing & Construction Bureau|department|2662
stic|S&T Innovation Bureau|department|2515
yangjiang|Yangjiang|municipal|2355
cac|Cyberspace Administration of China|central|2319
hlj|Heilongjiang Province|provincial|2277
sf|Justice Bureau|department|2033
yjgl|Emergency Management Bureau|department|2018
szeb|Education Bureau|department|2012
fgw|Development & Reform Commission|department|1953
people|People's Daily (人民日报)|media|1685
ndrc|National Development and Reform Commission|central|1656
szpsq|Pingshan District|district|1635
shaoguan|Shaoguan|municipal|1613
most|Ministry of Science and Technology|central|1601
cq|Chongqing Municipality|municipal|1295
wjw|Health Commission|department|1262
mot|Ministry of Transport (交通运输部)|central|1219
sic|State Information Center (国家信息中心)|central|1168
sz|Shenzhen Main Portal|municipal|1124
chinalawtranslate|China Law Translate|research|1103
wuhan|Wuhan Municipality|municipal|1002
szgm|Guangming District|district|913
chinapeace|Central Political & Legal Affairs Commission (中央政法委)|central|782
szlh|Luohu District|district|762
liaoning|Liaoning Province (辽宁省)|provincial|674
yunfu|Yunfu|municipal|658
mee|Ministry of Ecology and Environment|central|595
shandong|Shandong Province (山东省)|provincial|505
fj_tyjrswt|福建省退役军人事务厅|provincial|498
audit|Audit Bureau|department|475
36kr|36Kr (36氪)|media|475
nda|National Data Administration|central|470
gdstats|Guangdong Statistics Bureau (统计局)|provincial|450
gdhsa|Guangdong Healthcare Security Bureau (医保局)|provincial|447
qingdao|Qingdao (青岛市)|municipal|440
qstheory|Qiushi (求是网)|media|415
fj_xxzx|福建省经济信息中心|provincial|402
ipc_court|Supreme Court IP Tribunal (最高人民法院知识产权法庭)|central|377
fj_lsj|福建省粮食和物资储备局|provincial|377
gdedu|Guangdong Education Dept (教育厅)|provincial|350
gdjt|Guangdong Transport Dept (交通运输厅)|provincial|348
gdwjw|Guangdong Health Commission (卫健委)|provincial|348
gddrc|Guangdong Development & Reform Commission (发改委)|provincial|347
js_mzt|Jiangsu Civil Affairs Dept (江苏民政厅)|provincial|346
moe|Ministry of Education (教育部)|central|344
fujian|Fujian Province (福建省)|provincial|339
latepost|LatePost (晚点LatePost)|media|325
jilin|Jilin Province (吉林省)|provincial|319
zj|Zhejiang Province (Depts)|provincial|313
fj_kjt|福建省科学技术厅|provincial|310
szns|Nanshan District|district|309
fj_gdj|福建省广播电视局|provincial|302
gdstc|Guangdong Science & Tech Dept (科技厅)|provincial|300
gdmz|Guangdong Civil Affairs Dept (民政厅)|provincial|300
gdee|Guangdong Ecology & Environment Dept (生态环境厅)|provincial|300
gdcom|Guangdong Commerce Dept (商务厅)|provincial|300
gdct|Guangdong Culture & Tourism Dept (文旅厅)|provincial|300
gdnr|Guangdong Natural Resources Dept (自然资源厅)|provincial|299
gdzjst|Guangdong Housing & Construction Dept (住建厅)|provincial|299
gdczt|Guangdong Finance Dept (财政厅)|provincial|299
gdii|Guangdong Industry & IT Dept (工信厅)|provincial|296
chaoyang|朝阳市|municipal|282
fj_sjt|福建省审计厅|provincial|271
fj_sft|福建省司法厅|provincial|268
fj_gxt|福建省工业和信息化厅|provincial|263
fj_mzt|福建省民政厅|provincial|262
fj_hyyyj|福建省海洋与渔业局|provincial|261
fj_jtyst|福建省交通运输厅|provincial|257
fj_sthjt|福建省生态环境厅|provincial|256
bjd_xicheng|Beijing Xicheng District (北京西城区)|district|254
xa|西安市|municipal|254
gdny|Guangdong Agriculture & Rural Affairs Dept (农业农村厅)|provincial|249
fj_fgw|福建省发展和改革委员会|provincial|249
fj_zjt|福建省住房和城乡建设厅|provincial|248
elsewhere|Elsewhere (别处 · VC/AI tech news)|media|247
csrc|China Securities Regulatory Commission (证监会)|central|234
fj_gdb|福建省国防动员办公室|provincial|231
fj_gzw|福建省人民政府国有资产监督管理委员会|provincial|231
fj_rst|福建省人力资源和社会保障厅|provincial|217
szft|Futian District|district|211
fj_czt|福建省财政厅|provincial|209
gdlyj|Guangdong Forestry Bureau (林业局)|provincial|199
fj_mzzjt|福建省民族与宗教事务厅|provincial|199
