id,dimension,level,name_cn,counterpart_central_body,candidate_url,site_key,coverage_status,notes
state_council,central,central,国务院,,https://www.gov.cn,gov,crawled,
mfa,central,central,外交部,,https://www.mfa.gov.cn,mfa,crawled,
mnd,central,central,国防部,,http://www.mod.gov.cn,mod,crawled,Public window of the CMC; policy content thin (mostly news). See military lane.
ndrc,central,central,国家发展和改革委员会,,https://www.ndrc.gov.cn,ndrc,crawled,2023: lost some functions to 国家数据局; earlier lost climate to MEE (2018).
moe,central,central,教育部,,http://www.moe.gov.cn,moe,crawled,
most,central,central,科学技术部,,https://www.most.gov.cn,most,crawled,2023: restructured; project management dispersed; serves as office of 中央科技委员会.
miit,central,central,工业和信息化部,,https://www.miit.gov.cn,miit,crawled,2023: absorbed some S&T-industry functions.
neac,central,central,国家民族事务委员会,,https://www.neac.gov.cn,neac,crawled,
mps,central,central,公安部,,https://www.mps.gov.cn,,anti_bot,
mss,central,central,国家安全部,,,,no_portal,Publishes via WeChat only; no public policy portal.
mca,central,central,民政部,,https://www.mca.gov.cn,,proxy_gated,
moj,central,central,司法部,,https://www.moj.gov.cn,moj,crawled,2018: merged 国务院法制办 into MOJ.
mof,central,central,财政部,,https://www.mof.gov.cn,mof,crawled,
mohrss,central,central,人力资源和社会保障部,,https://www.mohrss.gov.cn,,anti_bot,
mnr,central,central,自然资源部,,https://www.mnr.gov.cn,,proxy_gated,2018: created from 国土资源部 + 国家海洋局 + surveying/mapping + parts of NDRC/MOHURD planning.
mee,central,central,生态环境部,,https://www.mee.gov.cn,mee,crawled,2018: created from 环境保护部 + climate (from NDRC) + water/marine env functions.
mohurd,central,central,住房和城乡建设部,,https://www.mohurd.gov.cn,,proxy_gated,
mot,central,central,交通运输部,,https://www.mot.gov.cn,mot,crawled,
mwr,central,central,水利部,,http://www.mwr.gov.cn,mwr,crawled,
mara,central,central,农业农村部,,https://www.moa.gov.cn,mara,crawled,2018: created from 农业部 + rural functions; 国家乡村振兴局 attached.
mofcom,central,central,商务部,,https://www.mofcom.gov.cn,mofcom,crawled,
mct,central,central,文化和旅游部,,https://www.mct.gov.cn,mct,crawled,2018: merged 文化部 + 国家旅游局.
nhc,central,central,国家卫生健康委员会,,https://www.nhc.gov.cn,,proxy_gated,2018: created from 国家卫生和计划生育委员会.
mva,central,central,退役军人事务部,,https://www.mva.gov.cn,mva,crawled,2018: newly created.
mem,central,central,应急管理部,,https://www.mem.gov.cn,mem,crawled,2018: newly created; absorbed 安监总局 + firefighting + disaster relief.
pbc,central,central,中国人民银行,,http://www.pbc.gov.cn,pbc,crawled,2023: reforms shifted some prudential-regulation and financial-holding oversight to NFRA.
cnao,central,central,审计署,,https://www.audit.gov.cn,cnao,crawled,
sasac,central,central,国务院国有资产监督管理委员会,,https://www.sasac.gov.cn,sasac,crawled,
gacc,central,central,海关总署,,http://www.customs.gov.cn,,blackhole,2018: absorbed entry-exit inspection & quarantine (from AQSIQ).
chinatax,central,central,国家税务总局,,https://www.chinatax.gov.cn,chinatax,crawled,2018: merged provincial 国税/地税 into one vertical STA system.
samr,central,central,国家市场监督管理总局,,https://www.samr.gov.cn,samr,crawled,2018: created from 工商总局 + 质检总局 + 食药监总局 + antitrust functions.
nfra,central,central,国家金融监督管理总局,,https://www.nfra.gov.cn,,stub_gated,2023: NEW; replaced 银保监会 (CBIRC) and absorbed some PBOC + CSRC investor-protection functions.
csrc,central,central,中国证券监督管理委员会,,https://www.csrc.gov.cn,csrc,crawled,2023: elevated from 事业单位 to 国务院直属机构.
nrta,central,central,国家广播电视总局,,https://www.nrta.gov.cn,nrta,crawled,2018: created from 新闻出版广电总局 broadcast functions.
gas,central,central,国家体育总局,,https://www.sport.gov.cn,saac,crawled,
cidca,central,central,国家国际发展合作署,,http://www.cidca.gov.cn,,reachable_uncrawled,2018: newly created.
nhsa,central,central,国家医疗保障局,,http://www.nhsa.gov.cn,nhsa,crawled,2018: newly created.
gov_counsellors,central,central,国务院参事室,,http://www.counsellor.gov.cn,,reachable_uncrawled,
ggj,central,central,国家机关事务管理局,,http://www.ggj.gov.cn,,reachable_uncrawled,
xinfang,central,central,国家信访局,,https://www.gjxfj.gov.cn,,reachable_uncrawled,2023: business guidance shifted toward 中央社会工作部 (party).
xinhua,central,central,新华通讯社,,http://www.news.cn,xinhua,crawled,
cas,central,central,中国科学院,,https://www.cas.cn,cas,crawled,
cass,central,central,中国社会科学院,,https://www.cass.cn,,reachable_uncrawled,
cae,central,central,中国工程院,,https://www.cae.cn,,reachable_uncrawled,
drc,central,central,国务院发展研究中心,,https://www.drc.gov.cn,,stub_gated,
cma,central,central,中国气象局,,https://www.cma.gov.cn,cma,crawled,
nsfc,central,central,国家自然科学基金委员会,,https://www.nsfc.gov.cn,nsfc,crawled,2018: management placed under MOST.
nea,central,central,国家能源局,,http://www.nea.gov.cn,nea,crawled,
nda,central,central,国家数据局,,https://www.nda.gov.cn,nda,crawled,2023: NEW; absorbed data functions from CAC + NDRC.
grain,central,central,国家粮食和物资储备局,,http://www.lswz.gov.cn,nfsra,crawled,
sastind,central,central,国家国防科技工业局,,http://www.sastind.gov.cn,sastind,crawled,
tobacco,central,central,国家烟草专卖局,,http://www.tobacco.gov.cn,,blackhole,
nia,central,central,国家移民管理局,,https://www.nia.gov.cn,nia,crawled,2018: newly created under MPS.
forestry,central,central,国家林业和草原局,,http://www.forestry.gov.cn,sfa,crawled,2018: created; also 国家公园管理局 signboard.
nra,central,central,国家铁路局,,http://www.nra.gov.cn,,reachable_uncrawled,
caac,central,central,中国民用航空局,,http://www.caac.gov.cn,caac,crawled,
spb,central,central,国家邮政局,,http://www.spb.gov.cn,spb,crawled,
ncha,central,central,国家文物局,,http://www.ncha.gov.cn,ncha,crawled,
natcm,central,central,国家中医药管理局,,http://www.natcm.gov.cn,natcm,crawled,
ncdc,central,central,国家疾病预防控制局,,https://www.ndcpa.gov.cn,,reachable_uncrawled,2021: newly created; elevated post-COVID.
nmpa,central,central,国家药品监督管理局,,https://www.nmpa.gov.cn,,proxy_gated,
cnipa,central,central,国家知识产权局,,https://www.cnipa.gov.cn,cnipa,crawled,
safe,central,central,国家外汇管理局,,http://www.safe.gov.cn,safe,crawled,
mine_safety,central,central,国家矿山安全监察局,,https://www.chinamine-safety.gov.cn,,reachable_uncrawled,
nfra_fire,central,central,国家消防救援局,,https://www.119.gov.cn,nfsra,crawled,2018: firefighting transferred from MPS into 应急部 system.
nba,central,central,国家原子能机构,,http://www.caea.gov.cn,,reachable_uncrawled,Administered via SASTIND.
cnsa,central,central,国家航天局,,http://www.cnsa.gov.cn,cnsa,crawled,Administered via SASTIND.
nbs,central,central,国家统计局,,https://www.stats.gov.cn,nbs,crawled,
sic,central,central,国家信息中心,,http://www.sic.gov.cn,sic,crawled,
tc260,central,central,全国网络安全标准化技术委员会,,https://www.tc260.org.cn,tc260,crawled,
cpc_general_office,central,central,中共中央办公厅,,,,no_portal,Issues 中办发 documents that cascade to all state organs.
cpc_org_dept,central,central,中共中央组织部,,https://www.12380.gov.cn,,blackhole,2018: absorbed 国家公务员局 functions.
cpc_propaganda,central,central,中共中央宣传部,,,,no_portal,2018: took over 新闻出版署 + 国家电影局 (both carry 挂牌 signboards under it).
cpc_united_front,central,central,中共中央统一战线工作部,,,,no_portal,2018: absorbed 国家宗教事务局 + 国务院侨办.
cpc_plac,central,central,中共中央政法委员会,,https://www.chinapeace.gov.cn,chinapeace,crawled,"Oversees courts, procuratorate, public security, state security, justice."
cac,central,central,中央网络安全和信息化委员会办公室 / 国家互联网信息办公室,,https://www.cac.gov.cn,cac,crawled,Dual signboard: party commission office + State Council office. Primary AI/data/internet regulator.
cpc_finance_office,central,central,中央金融委员会办公室,,,,no_portal,2023: NEW; replaced FSDC (国务院金融稳定发展委员会). Paired with 中央金融工作委员会.
cpc_st_commission,central,central,中央科技委员会,,,,no_portal,2023: NEW; MOST serves as its administrative office.
cpc_social_work,central,central,中央社会工作部,,,,no_portal,2023: NEW; took信访 guidance + industry-association/social-org party building.
cpc_ccdi_nsc,central,central,中央纪律检查委员会 / 国家监察委员会,,https://www.ccdi.gov.cn,,stub_gated,"2018: NSC created, merging 监察部 + 预防腐败局 + procuratorate anti-graft into one supervisory organ, co-located with the party CCDI."
cpc_taiwan_office,central,central,中央台湾工作办公室 / 国务院台湾事务办公室,,http://www.gwytb.gov.cn,,reachable_uncrawled,
cpc_ccp_members_net,central,central,共产党员网 (12371),,https://www.12371.cn,dangyuan,crawled,Publishing outlet for party regulations; crawled as a proxy for party-organ output.
npc,central,central,全国人民代表大会 / 常委会,,http://www.npc.gov.cn,npc,crawled,国家法律法规数据库 (flk.npc.gov.cn) is the authoritative law corpus.
cppcc,central,central,中国人民政治协商会议全国委员会,,http://www.cppcc.gov.cn,cppcc,crawled,
spc,central,central,最高人民法院,,https://www.court.gov.cn,spc,crawled,
spc_ip,central,central,最高人民法院知识产权法庭,,https://ipc.court.gov.cn,ipc_court,crawled,Operational since Jan 2019.
spp,central,central,最高人民检察院,,https://www.spp.gov.cn,spp,crawled,2018: anti-graft investigation transferred to NSC.
cmc,central,central,中央军事委员会,,,,no_portal,No standalone public policy portal; public face is 国防部 (mod).
pap,central,central,中国人民武装警察部队,,,,no_portal,2018: placed fully under CMC (removed from State Council dual-lead).
ccg,central,central,中国海警局,,https://www.ccg.gov.cn,ccg,crawled,2018: coast guard moved from 国家海洋局 to PAP under CMC (per 海警法 art.2).
pla_daily,central,central,中国军网 / 解放军报,,http://www.81.cn,,reachable_uncrawled,CMC-approved military news portal; low policy-doc value.
acftu,central,central,中华全国总工会,,https://www.acftu.org,,proxy_gated,
cylc,central,central,中国共产主义青年团中央,,https://www.gqt.org.cn,,reachable_uncrawled,
acwf,central,central,中华全国妇女联合会,,https://www.women.org.cn,,proxy_gated,
cast,central,central,中国科学技术协会,,https://www.cast.org.cn,,reachable_uncrawled,Umbrella for ~200 scientific societies.
geo.hebei,geo,provincial,河北省人民政府,,https://hebei.gov.cn,,blackhole,province portal
hebei.fgw,dept,provincial,河北省发展和改革委员会,ndrc,https://fgw.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/fgw/
hebei.edu,dept,provincial,河北省教育厅,moe,https://edu.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/edu/
hebei.kjt,dept,provincial,河北省科学技术厅,most,https://kjt.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/kjt/
hebei.gxt,dept,provincial,河北省工业和信息化厅,miit,https://gxt.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/gxt/
hebei.mzw,dept,provincial,河北省民族宗教事务委员会,neac,https://mzw.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/mzw/
hebei.ga,dept,provincial,河北省公安厅,mps,https://ga.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/ga/
hebei.at,dept,provincial,河北省国家安全厅,mss,https://at.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/at/
hebei.mzt,dept,provincial,河北省民政厅,mca,https://mzt.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/mzt/
hebei.sft,dept,provincial,河北省司法厅,moj,https://sft.hebei.gov.cn,,stub_gated,alt=https://hebei.gov.cn/sft/
hebei.czt,dept,provincial,河北省财政厅,mof,https://czt.hebei.gov.cn,,proxy_gated,alt=https://hebei.gov.cn/czt/
hebei.hrss,dept,provincial,河北省人力资源和社会保障厅,mohrss,https://hrss.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/hrss/
hebei.zrzyt,dept,provincial,河北省自然资源厅,mnr,https://zrzyt.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/zrzyt/
hebei.sthjt,dept,provincial,河北省生态环境厅,mee,https://sthjt.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/sthjt/
hebei.zjt,dept,provincial,河北省住房和城乡建设厅,mohurd,https://zjt.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/zjt/
hebei.jtyst,dept,provincial,河北省交通运输厅,mot,https://jtyst.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/jtyst/
hebei.slt,dept,provincial,河北省水利厅,mwr,https://slt.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/slt/
hebei.nynct,dept,provincial,河北省农业农村厅,mara,https://nynct.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/nynct/
hebei.swt,dept,provincial,河北省商务厅,mofcom,https://swt.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/swt/
hebei.whlyt,dept,provincial,河北省文化和旅游厅,mct,https://whlyt.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/whlyt/
hebei.wjw,dept,provincial,河北省卫生健康委员会,nhc,https://wjw.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/wjw/
hebei.tyj,dept,provincial,河北省退役军人事务厅,mva,https://tyj.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/tyj/
hebei.yjt,dept,provincial,河北省应急管理厅,mem,https://yjt.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/yjt/
hebei.sjt,dept,provincial,河北省审计厅,cnao,https://sjt.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/sjt/
hebei.wsb,dept,provincial,河北省人民政府外事办公室,mfa,https://wsb.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/wsb/
hebei.gzw,dept,provincial,河北省国有资产监督管理委员会,sasac,https://gzw.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/gzw/
hebei.scjgj,dept,provincial,河北省市场监督管理局,samr,https://scjgj.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/scjgj/
hebei.tjj,dept,provincial,河北省统计局,nbs,https://tjj.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/tjj/
hebei.ybj,dept,provincial,河北省医疗保障局,nhsa,https://ybj.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/ybj/
hebei.tyjr,dept,provincial,河北省体育局,gas,https://tyjr.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/tyjr/
hebei.gbdst,dept,provincial,河北省广播电视局,nrta,https://gbdst.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/gbdst/
hebei.jrjgj,dept,provincial,河北省地方金融监督管理局,nfra,https://jrjgj.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/jrjgj/
hebei.sjaqj,dept,provincial,河北省政务服务和数据管理局,nda,https://sjaqj.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/sjaqj/
hebei.ylj,dept,provincial,河北省林业和草原局,forestry,https://ylj.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/ylj/
hebei.nyj,dept,provincial,河北省能源局,nea,https://nyj.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/nyj/
hebei.yjglj,dept,provincial,河北省药品监督管理局,nmpa,https://yjglj.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/yjglj/
hebei.zscqj,dept,provincial,河北省知识产权局,cnipa,https://zscqj.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/zscqj/
hebei.xfj,dept,provincial,河北省信访局,xinfang,https://xfj.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/xfj/
hebei.jgswglj,dept,provincial,河北省机关事务管理局,ggj,https://jgswglj.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/jgswglj/
hebei.tax,dept,provincial,国家税务总局河北省税务局,chinatax,https://tax.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/tax/
hebei.customs,dept,provincial,河北省海关,gacc,https://customs.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/customs/
hebei.pboc_br,dept,provincial,中国人民银行河北省分行,pbc,https://pboc_br.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/pboc_br/
hebei.p_office,dept,provincial,中共河北省委员会办公厅,cpc_general_office,https://p_office.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/p_office/
hebei.p_org,dept,provincial,中共河北省委组织部,cpc_org_dept,https://p_org.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/p_org/
hebei.p_prop,dept,provincial,中共河北省委宣传部,cpc_propaganda,https://p_prop.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/p_prop/
hebei.p_ufwd,dept,provincial,中共河北省委统战部,cpc_united_front,https://p_ufwd.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/p_ufwd/
hebei.p_plac,dept,provincial,中共河北省委政法委员会,cpc_plac,https://p_plac.hebei.gov.cn,,blackhole,alt=https://hebei.gov.cn/p_plac/
