idx,institution_cn,institution_en,level
0,中华人民共和国全国人民代表大会,National People's Congress of the People's Republic of China,central
1,中华人民共和国最高人民法院,Supreme People's Court of the People's Republic of China,central
2,人力资源和社会保障部,Ministry of Human Resources and Social Security,central
3,公安部,Ministry of Public Security,central
4,农业农村部,Ministry of Agriculture and Rural Affairs,central
5,司法部,Ministry of Justice,central
6,国家发展和改革委员会,National Development and Reform Commission,central
7,国家安全部,Ministry of State Security,central
8,国家民族事务委员会,National Ethnic Affairs Commission,central
9,国防部,Ministry of National Defense,central
10,外交部,Ministry of Foreign Affairs,central
11,审计署,National Audit Office,central
12,宣传部,Communication Department,central
13,教育部,Ministry of Education,central
14,文化和旅游部,Ministry of Culture and Tourism,central
15,民政部,Ministry of Civil Affairs,central
16,水利部,Ministry of Water Resources,central
17,科学技术部,Ministry of Science and Technology,central
18,自然资源部,Ministry of Natural Resources,central
19,退役军人事务部,Ministry of Veterans Affairs,central
20,上海市,Shanghai (provincial-level unit),provincial
21,云南省,Yunnan (provincial-level unit),provincial
22,内蒙古自治区,Inner Mongolia (provincial-level unit),provincial
23,吉林省,Jilin (provincial-level unit),provincial
24,天津市,Tianjin (provincial-level unit),provincial
25,宁夏回族自治区,Ningxia (provincial-level unit),provincial
26,安徽省,Anhui (provincial-level unit),provincial
27,山东省,Shandong (provincial-level unit),provincial
28,江西省,Jiangxi (provincial-level unit),provincial
29,山西省,Shanxi (provincial-level unit),provincial
30,广西壮族自治区,Guangxi (provincial-level unit),provincial
31,新疆维吾尔自治区,Xinjiang (provincial-level unit),provincial
32,江苏省,Jiangsu (provincial-level unit),provincial
33,福建省,Fujian (provincial-level unit),provincial
34,河北省,Hebei (provincial-level unit),provincial
35,河南省,Henan (provincial-level unit),provincial
36,浙江省,Zhejiang (provincial-level unit),provincial
37,海南省,Hainan (provincial-level unit),provincial
38,湖北省,Hubei (provincial-level unit),provincial
39,湖南省,Hunan (provincial-level unit),provincial
40,甘肃省,Gansu (provincial-level unit),provincial
41,西藏自治区,Tibet (provincial-level unit),provincial
42,贵州省,Guizhou (provincial-level unit),provincial
43,辽宁省,Liaoning (provincial-level unit),provincial
44,重庆市,Chongqing (provincial-level unit),provincial
45,陕西省,Shaanxi (provincial-level unit),provincial
46,青海省,Qinghai (provincial-level unit),provincial
47,七台河市,Qitaihe,municipal/prefecture
48,三亚市,Sanya,municipal/prefecture
49,三明市,Sanming,municipal/prefecture
50,三门峡市,Sanmenxia,municipal/prefecture
51,上饶市,Shangrao,municipal/prefecture
52,东营市,Dongying,municipal/prefecture
53,中卫市,Zhongwei,municipal/prefecture
54,临夏回族自治州,Linxia Hui Autonomous Prefecture,municipal/prefecture
55,临汾市,Linfen,municipal/prefecture
56,临沂市,Linyi,municipal/prefecture
57,临沧市,Lincang,municipal/prefecture
58,丹东市,Dandong,municipal/prefecture
59,丽水市,Lishui,municipal/prefecture
60,丽江市,Lijiang,municipal/prefecture
61,乌鲁木齐市,Urumqi,municipal/prefecture
62,乐山市,Leshan,municipal/prefecture
63,九江市,Jiujiang,municipal/prefecture
64,云浮市,Yunfu,municipal/prefecture
65,亳州市,Bozhou,municipal/prefecture
66,伊春市,Yichun,municipal/prefecture
67,伊犁哈萨克自治州,Ili Kazakh Autonomous Prefecture,municipal/prefecture
68,佛山市,Foshan,municipal/prefecture
69,佳木斯市,Jiamusi,municipal/prefecture
70,保定市,Baoding,municipal/prefecture
71,保山市,Baoshan,municipal/prefecture
72,信阳市,Xinyang,municipal/prefecture
73,儋州市,Danzhou,municipal/prefecture
74,克孜勒苏柯尔克孜自治州,Kizilsu Kirghiz Autonomous Prefecture,municipal/prefecture
75,克拉玛依市,Karamay,municipal/prefecture
76,六安市,Lu'an,municipal/prefecture
77,六盘水市,Liupanshui,municipal/prefecture
78,兰州市,Lanzhou,municipal/prefecture
79,兴安盟,Xing'an League,municipal/prefecture
80,内江市,Neijiang,municipal/prefecture
81,凉山彝族自治州,Liangshan Yi Autonomous Prefecture,municipal/prefecture
82,北海市,Beihai,municipal/prefecture
83,十堰市,Shiyan,municipal/prefecture
84,南京市,Nanjing,municipal/prefecture
85,南充市,Nanchong,municipal/prefecture
86,南宁市,Nanning,municipal/prefecture
87,南平市,Nanping,municipal/prefecture
88,南昌市,Nanchang,municipal/prefecture
89,南通市,Nantong,municipal/prefecture
