idx,institution_cn,institution_en,level,official_url,confidence,notes
0,中华人民共和国全国人民代表大会,National People's Congress of the People's Republic of China,central,http://www.npc.gov.cn/,high,NPC official portal.
1,中华人民共和国最高人民法院,Supreme People's Court of the People's Republic of China,central,https://www.court.gov.cn/,high,SPC official portal (中国法院网 is separate at chinacourt.org).
2,人力资源和社会保障部,Ministry of Human Resources and Social Security,central,http://www.mohrss.gov.cn/,high,MOHRSS official portal.
3,公安部,Ministry of Public Security,central,https://www.mps.gov.cn/,high,MPS official portal.
4,农业农村部,Ministry of Agriculture and Rural Affairs,central,https://www.moa.gov.cn/,high,Verified: MARA portal is moa.gov.cn (also National Rural Revitalization Bureau).
5,司法部,Ministry of Justice,central,https://www.moj.gov.cn/,high,MOJ official portal.
6,国家发展和改革委员会,National Development and Reform Commission,central,https://www.ndrc.gov.cn/,high,NDRC official portal.
7,国家安全部,Ministry of State Security,central,,low,MSS has NO public policy portal; no standalone .gov.cn site. Genuinely none.
8,国家民族事务委员会,National Ethnic Affairs Commission,central,https://www.neac.gov.cn/,high,Verified: State Ethnic Affairs Commission portal neac.gov.cn.
9,国防部,Ministry of National Defense,central,http://www.mod.gov.cn/,high,MND official portal (news/spokesperson oriented; limited policy docs).
10,外交部,Ministry of Foreign Affairs,central,https://www.mfa.gov.cn/,high,Verified: MFA now primary at mfa.gov.cn; www.fmprc.gov.cn is the legacy/alias domain.
11,审计署,National Audit Office,central,https://www.audit.gov.cn/,high,CNAO official portal.
12,宣传部,Communication Department,central,,low,CPC Publicity/Propaganda Dept has NO standalone .gov portal; publishes via 12371.gov.cn (共产党员网) and 中国文明网 (wenming.cn).
13,教育部,Ministry of Education,central,http://www.moe.gov.cn/,high,MOE official portal.
14,文化和旅游部,Ministry of Culture and Tourism,central,https://www.mct.gov.cn/,high,MCT official portal.
15,民政部,Ministry of Civil Affairs,central,https://www.mca.gov.cn/,high,MCA official portal.
16,水利部,Ministry of Water Resources,central,http://www.mwr.gov.cn/,high,MWR official portal.
17,科学技术部,Ministry of Science and Technology,central,https://www.most.gov.cn/,high,MOST official portal.
18,自然资源部,Ministry of Natural Resources,central,https://www.mnr.gov.cn/,high,MNR official portal.
19,退役军人事务部,Ministry of Veterans Affairs,central,https://www.mva.gov.cn/,high,Verified: MVA portal mva.gov.cn (launched 2018).
20,上海市,Shanghai (provincial-level unit),provincial,https://www.shanghai.gov.cn/,high,Shanghai municipal government portal (中国上海).
21,云南省,Yunnan (provincial-level unit),provincial,http://www.yn.gov.cn/,high,Yunnan provincial portal.
22,内蒙古自治区,Inner Mongolia (provincial-level unit),provincial,https://www.nmg.gov.cn/,high,Inner Mongolia autonomous region portal.
23,吉林省,Jilin (provincial-level unit),provincial,https://www.jl.gov.cn/,high,Verified: Jilin provincial portal jl.gov.cn.
24,天津市,Tianjin (provincial-level unit),provincial,http://www.tj.gov.cn/,high,Tianjin municipal government portal.
25,宁夏回族自治区,Ningxia (provincial-level unit),provincial,https://www.nx.gov.cn/,high,Ningxia autonomous region portal.
26,安徽省,Anhui (provincial-level unit),provincial,https://www.ah.gov.cn/,high,Anhui provincial portal.
27,山东省,Shandong (provincial-level unit),provincial,http://www.shandong.gov.cn/,high,Verified: Shandong provincial portal shandong.gov.cn (served over http).
28,江西省,Jiangxi (provincial-level unit),provincial,http://www.jiangxi.gov.cn/,high,Jiangxi provincial portal.
29,山西省,Shanxi (provincial-level unit),provincial,http://www.shanxi.gov.cn/,high,Shanxi (太原) provincial portal; distinct from Shaanxi (shaanxi.gov.cn).
30,广西壮族自治区,Guangxi (provincial-level unit),provincial,http://www.gxzf.gov.cn/,high,Guangxi autonomous region portal (gxzf = 广西政府).
31,新疆维吾尔自治区,Xinjiang (provincial-level unit),provincial,http://www.xinjiang.gov.cn/,high,Xinjiang autonomous region portal.
