institution_en,institution_cn,admin_level,url,page_found_on,notes,live_status,live_tested,live_notes
National Radio Office / Ministry of Industry and Information Technology,国家无线电办公室／工业和信息化部,Ministry,https://www.miit.gov.cn/xwfb/gxdt/sjdt/art/2026/art_261b0fdb80544c128ba8bcc03f417ce2.html,https://reconnectchina.org/items/6a9a9e68485858e1f789612c/notice-of-the-national-radio-office-on-carrying-out-the-work-of-third-party-institution-evaluation,TECH; Notice on third-party evaluation for satellite-network domestic coordination; 2026-09-04; notice/announcement; Source field 无线电管理局; document 国无办〔2026〕7号.,REACHABLE-redirect,2026-09-04,MIIT root 307; doc sub-paths (国家无线电办公室 /xwfb/gxdt/sjdt/) REACH. We crawl (miit).
Central Cyberspace Affairs Commission and six departments / China Internet Information Network,中央网信办等七部门／中国网信网,Central,https://www.news.cn/politics/20260904/04a5597bfff74bbdbf05b7a0719d010d/c.html,https://reconnectchina.org/items/6a9aa0a2485858e1f78961b6/the-central-cyberspace-affairs-commission-and-six-other-departments-jointly-issue-the-implementation,TECH; Digitalization/greenization coordinated transformation plan 2026-2030; 2026-09-03; notice; departments named: 网信办、国家发展改革委、工信部、生态环境部、住房城乡建设部、农业农村部、商务部.,REACHABLE,2026-09-04,Xinhua — we crawl (xinhua/newscn). MEDIA MIRROR: blocked issuers' docs published here ARE reachable.
Beijing Municipal Government / Beijing Daily,北京市人民政府／北京日报,City,https://www.beijing.gov.cn/fuwu/lqfw/gggs/202609/t20260903_4848460.html,https://reconnectchina.org/items/6a98d713485858e1f788fdcd/the-beijing-15th-five-year-plan-period-high-level-open-economy-development-plan-is-released-by,TECH; Beijing 15th Five-Year high-level open-economy development plan; 2026-09-03; opinion/plan; Beijing city.,REACHABLE-redirect,2026-09-04,Beijing root 307; doc pages REACH (42KB). We crawl (bj).
Zouping City Labor and Personnel Dispute Arbitration Committee,邹平市劳动人事争议仲裁委员会,Prefecture-level,https://rs.binzhou.gov.cn/art/2024/1/30/art_120545_10304322.html,https://reconnectchina.org/items/6a9ae3f5485858e1f7897173/zouping-county-labor-dispute-arbitration-case-no-027-2024-notice-recipient-shandong-tairen,LEGAL; Labor dispute arbitration case No.027 (2024) notice; 2024-01-30; notice/announcement; Binzhou/Zouping; Shandong.,BLACKHOLE,2026-09-04,"Binzhou HR/Social-Security subdomain (hosts county-level 仲裁委 docs) — blackhole. NEW, blocked."
Binzhou City Labor Capacity Appraisal Committee,滨州市劳动能力鉴定委员会,Prefecture-level,https://rs.binzhou.gov.cn/art/2026/9/3/art_120545_10328645.html,https://reconnectchina.org/items/6a99ca62485858e1f7893396/announcement-of-delivery-of-labor-capacity-appraisal-conclusion-no-2026-135-recipient-shandong,LEGAL; Labor-capacity appraisal conclusion delivery No.2026-135; 2026-08-28/09-03 page; notice/announcement; Binzhou; Shandong.,BLACKHOLE,2026-09-04,"Binzhou HR/Social-Security subdomain (hosts county-level 仲裁委 docs) — blackhole. NEW, blocked."
Boxing County Labor and Personnel Dispute Arbitration Committee,博兴县劳动人事争议仲裁委员会,County,https://rs.binzhou.gov.cn/art/2026/9/2/art_120545_10328425.html,https://reconnectchina.org/items/6a98af9f485858e1f788f576/announcement-no-592-of-2026-of-the-bo-laoren-zhong-an-case-recipient-shandong-weichuang,LEGAL; Arbitration case No.592 (2026) public-service notice; 2026-09-01/09-02 page; notice/announcement; Boxing/Binzhou; Shandong.,BLACKHOLE,2026-09-04,"Binzhou HR/Social-Security subdomain (hosts county-level 仲裁委 docs) — blackhole. NEW, blocked."
Chinese Government / State Council,中国政府网／国务院,Central,https://www.gov.cn/zhengce/zhengceku/202607/content_7074231.htm,https://reconnectchina.org/items/6a47a4cdc4ca30456642bb94/notice-on-adjusting-the-preferential-policies-for-vehicle-and-vessel-tax-on-energy-saving-vehicles,FINANCE; Vehicle/vessel-tax preferential-policy adjustment; implemented 2026-12-31; notice/announcement; source URL is gov.cn.,REACHABLE,2026-09-04,State Council policy library — we crawl (gov). Central docs mirrored here are reachable.
People's Bank of China and seven departments,中国人民银行等八部门,Central,https://www.gov.cn/zhengce/zhengceku/202604/content_7066927.htm,https://reconnectchina.org/items/69ef8ea447346df0eb9e0821/regulation-on-the-management-of-network-marketing-of-financial,FINANCE; Financial Products Network Marketing Management Regulation; implemented 2026-09-29; regulation; eight departments include PBOC; MIIT; SAMR; NFRA; CSRC; CNIPA; CAC; SAFE.,REACHABLE,2026-09-04,State Council policy library — we crawl (gov). Central docs mirrored here are reachable.
MIIT, Ministry of Finance and State Taxation Administration offices,工业和信息化部办公厅／财政部办公厅／国家税务总局办公厅,Ministry,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_8ca2ef42fdac43cbabf98e869f76ab9b.html,https://reconnectchina.org/items/6a9a9cb5485858e1f78960d3/...;FINANCE; Advanced-manufacturing enterprises and 2026 VAT additional deduction list; 2026-09-03; notice; document 工信厅联财函〔2026〕418号.,REACHABLE-redirect,2026-09-04,MIIT root 307; doc sub-paths (国家无线电办公室 /xwfb/gxdt/sjdt/) REACH. We crawl (miit).
National Development and Reform Commission,国家发展和改革委员会,Central,https://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=20644,https://reconnectchina.org/items/6a575439c9d6c5c7a6c827ad/provisional-rules-for-the-on-site-management-of-public-resource-trading-center-bidding-and,GOVERNMENT; Provisional on-site management rules for public-resource trading-center bidding; effective 2027-01-01; regulation; co-signed MIIT; housing; transport; water; agriculture; commerce ministries.,REACHABLE,2026-09-04,"NDRC 政务公开 subdomain — 200/17KB, iteminfo docs reachable. NEW sub-host (we have ndrc); crawlable."
Bengbu Municipal People's Government,蚌埠市人民政府,City,https://www.bengbu.gov.cn/group1/M00/03/F7/wKgQFl8Q8U6AfVLlAAFSANeKoBU000.doc,https://reconnectchina.org/items/6a9afc1e485858e1f7897796/notice-of-the-binhai-city-people-s-government-on-the-decomposition-of-responsibilities-for-the-2020,GOVERNMENT; 2020 Government Work Report responsibility decomposition; notice; Bengbu; Anhui; source page is municipal government DOC.,WAF403,2026-09-04,"Bengbu 蚌埠 — 403 blocked from our IP. NEW, blocked."
Gansu Provincial Department of Finance / Baiyin municipal source,甘肃省财政厅／白银市财政局,Province,https://www.baiyin.gov.cn/bysczj/gzdt/art/2026/art_31cf365b9c34429781e1ecbf521acbc0.html,https://reconnectchina.org/items/6a9abdd0485858e1f7896835/notice-of-the-gansu-provincial-department-of-finance-on-carrying-out-the-2026-accounting-series,GOVERNMENT; 2026 senior-accounting-title application/evaluation notice; 2026-08-31; notice; source location Baiyin; issuer 市财政局.,REACHABLE-root/WAF-doc,2026-09-04,"Baiyin 白银 root 200 (11KB) but /art/ doc pages 403 — section-gated. NEW, partial."
