institution_en,institution_cn,admin_level,url,page_found_on,notes,live_status,live_tested,live_notes
The State Council of the People's Republic of China / China Government Network (中国政府网),中华人民共和国中央人民政府 / 中国政府网,central,https://www.gov.cn/,https://reconnectchina.org/items/691c549ecd9db96a0ec10a69/regulations-of-the-state-council-on-key-policies-in (and many items); Source label 中国政府网,crawl target / document Source page host; example Source page www.gov.cn/yaowen/liebiao/202509/content_7043016.htm,REACHABLE,2026-09-04,State Council policy library — we crawl (gov). Central docs mirrored here are reachable.
Ministry of Industry and Information Technology,工业和信息化部,central,https://www.miit.gov.cn/,indexed item https://reconnectchina.univie.ac.at/items/696f0406cd9db96a0e64e9e0 (Source page on miit.gov.cn),crawl target; Source page example PDF/doc under www.miit.gov.cn,REACHABLE-redirect,2026-09-04,MIIT root 307; doc sub-paths (国家无线电办公室 /xwfb/gxdt/sjdt/) REACH. We crawl (miit).
Ministry of Commerce,商务部,central,https://www.mofcom.gov.cn/,indexed item https://reconnectchina.univie.ac.at/items/6959a300cd9db96a0ed60dbe,crawl target; Source page under www.mofcom.gov.cn/zfxxgk/,REACHABLE,2026-09-04,MOFCOM — we crawl (mofcom).
Ministry of Emergency Management,应急管理部,central,https://www.mem.gov.cn/,indexed item https://reconnectchina.univie.ac.at/items/697e75d7cd9db96a0eb19e7b/...,crawl target; Source page www.mem.gov.cn/gk/...,REACHABLE,2026-09-04,MEM — reachable (22KB); govcms-configurable.
People's Bank of China,中国人民银行,central,https://www.pbc.gov.cn/,"https://reconnectchina.org/items/69a0c3a4cd9db96a0ec53bb1/... ; also items 695f7d8a..., 69a15525...",crawl target; Source pages under www.pbc.gov.cn,REACHABLE,2026-09-04,PBoC — we crawl (pbc).
Ministry of Ecology and Environment,生态环境部,central,https://www.mee.gov.cn/,indexed item https://reconnectchina.univie.ac.at/items/683ef450cd9db96a0e8c33d7,crawl target; Source page www.mee.gov.cn/xxgk2018/...,REACHABLE,2026-09-04,MEE — we crawl (mee).
Ministry of Transport,交通运输部,central,https://xxgk.mot.gov.cn/,indexed item https://reconnectchina.univie.ac.at/items/68ef013ecd9db96a0e20305f,crawl target; Source page xxgk.mot.gov.cn/2020/...,REACHABLE-thin,2026-09-04,MOT 信息公开 subdomain — 200/3.4KB. NEW sub-host (we have mot); worth a crawl probe.
Ministry of Housing and Urban-Rural Development,住房和城乡建设部,central,https://www.mohurd.gov.cn/,indexed item https://reconnectchina.univie.ac.at/items/683005f6cd9db96a0e37eb95,crawl target; Source page www.mohurd.gov.cn/gongkai/...,BLACKHOLE,2026-09-04,"MOHURD — blocked (Tier C, needs proxy)."
National Health Commission,国家卫生健康委员会,central,https://www.nhc.gov.cn/,indexed item https://reconnectchina.univie.ac.at/items/6967801ccd9db96a0e458a91,crawl target; Source page www.nhc.gov.cn/...,WAF412,2026-09-04,"NHC — blocked (Tier C, needs proxy)."
Ministry of Finance,财政部,central,https://www.mof.gov.cn/,"indexed items using jkw.mof.gov.cn and jrs.mof.gov.cn subdomains (6899ef25..., 6870f9f1...)",crawl target; evidenced Source pages on jkw.mof.gov.cn and jrs.mof.gov.cn,REACHABLE-thin,2026-09-04,MOF root 200 but only 2.5KB (JS shell); we crawl via mof.py gazette.
Ministry of Finance (Treasury/Education funds site),财政部,central,https://jkw.mof.gov.cn/,https://reconnectchina.univie.ac.at/items/6899ef25cd9db96a0e05012b,Source page host for MOF notices,ERR502,2026-09-04,"MOF sub-bureau subdomain (国库司/金库) — 502 from our IP. NEW, not crawled, blocked."
Ministry of Finance (Financial affairs site),财政部,central,https://jrs.mof.gov.cn/,https://reconnectchina.univie.ac.at/items/6870f9f1cd9db96a0ee14227,Source page host for MOF notices,ERR502,2026-09-04,"MOF 金融司 subdomain — 502 from our IP. NEW, not crawled, blocked."
Guangdong Provincial People's Government,广东省 / 广东省人民政府,provincial,https://www.gd.gov.cn/,"indexed items 692113b2..., 68f7816d...",crawl target (issuer 广东省); Source pages under www.gd.gov.cn/zwgk/...,REACHABLE,2026-09-04,Guangdong — we crawl (gd).
Beijing Municipal People's Government,北京市 / 北京市人民政府,provincial,https://www.beijing.gov.cn/,indexed item https://reconnectchina.univie.ac.at/items/67e6ac2e4abccd01688a65f7,crawl target (issuer 北京市); Source page www.beijing.gov.cn/zhengce/...,REACHABLE-redirect,2026-09-04,Beijing root 307; doc pages REACH (42KB). We crawl (bj).
Sichuan Provincial People's Government,四川省 / 四川省人民政府,provincial,https://www.sc.gov.cn/,indexed item https://reconnectchina.univie.ac.at/items/69251c7ecd9db96a0e752a8c/...,crawl target (issuer 四川省); Source page www.sc.gov.cn/...,BLACKHOLE,2026-09-04,"Sichuan — blocked (Tier C, needs proxy)."
Heilongjiang Provincial People's Government,黑龙江省 / 黑龙江省人民政府,provincial,https://www.hlj.gov.cn/,indexed item https://reconnectchina.univie.ac.at/items/6912555bcd9db96a0ed9c78d,crawl target (issuer 黑龙江省); Source page www.hlj.gov.cn/...,ERR502,2026-09-04,Heilongjiang main portal 502 from our IP — we crawl via dept subdomains (hlj main blocked).
National People's Congress of the People's Republic of China,中华人民共和国全国人民代表大会,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Supreme People's Court of the People's Republic of China,中华人民共和国最高人民法院,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of Human Resources and Social Security,人力资源和社会保障部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of Public Security,公安部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of Agriculture and Rural Affairs,农业农村部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of Justice,司法部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
National Development and Reform Commission,国家发展和改革委员会,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of State Security,国家安全部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
National Ethnic Affairs Commission,国家民族事务委员会,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of National Defense,国防部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of Foreign Affairs,外交部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
National Audit Office,审计署,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Communication Department,宣传部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of Education,教育部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of Culture and Tourism,文化和旅游部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of Civil Affairs,民政部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of Water Resources,水利部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of Science and Technology,科学技术部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of Natural Resources,自然资源部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Ministry of Veterans Affairs,退役军人事务部,central,,reconnectchina.org frontend issuer filter (assets/item-url-*.js / search-*.js); search UI 'Issuer' + 'Level: Central Authorities',listed as searchable issuer / crawl coverage unit; specific portal URL not published on public Sources page (none exists),no-seed-url,,
Shanghai (provincial-level unit),上海市,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Yunnan (provincial-level unit),云南省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Inner Mongolia (provincial-level unit),内蒙古自治区,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Jilin (provincial-level unit),吉林省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Tianjin (provincial-level unit),天津市,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Ningxia (provincial-level unit),宁夏回族自治区,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Anhui (provincial-level unit),安徽省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Shandong (provincial-level unit),山东省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Jiangxi (provincial-level unit),江西省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Shanxi (provincial-level unit),山西省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Guangxi (provincial-level unit),广西壮族自治区,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Xinjiang (provincial-level unit),新疆维吾尔自治区,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Jiangsu (provincial-level unit),江苏省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Fujian (provincial-level unit),福建省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
