site_key,section,nav_links,arts_found,held_pct,raw_status,bucket,sample_url,decision
gov,/yaowen/,25,8,12,missing_have_scraper,crawl_now,https://www.gov.cn/home/2023-03/29/content_5748953.htm,crawl_now
gov,/lianbo/,15,8,12,missing_have_scraper,crawl_now,https://www.gov.cn/home/2023-03/29/content_5748953.htm,crawl_now
gov,/guowuyuan/,2,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
szdp,/xxgk/,64,25,0,missing_have_scraper,crawl_now,https://www.dpxq.gov.cn/xxgk/xxgk/tzgg/content/post_12972267.html,crawl_now
gd,/zwgk/,39,31,0,missing_have_scraper,crawl_now,https://www.gd.gov.cn/zwgk/gdszfld/content/post_4783322.html,crawl_now
zhongshan,/zwgk/,49,61,0,missing_have_scraper,crawl_now,http://www.zs.gov.cn/xx/content/post_280789.html,crawl_now
ga,/ZWGK/,19,21,0,missing_have_scraper,crawl_now,https://ga.sz.gov.cn/ZWGK/QT/GZDT_1/content/post_12973754.html,crawl_now
huizhou,-,0,0,0,HOMEPAGE_UNREACHABLE,sweep_unreliable,[Errno 104] Connection reset by peer,sweep_unreliable
jiangmen,/newzwgk/,46,44,0,missing_have_scraper,crawl_now,http://www.jiangmen.gov.cn/newzwgk/szfld/content/post_2235351.html,crawl_now
szlhq,/xxgk/,42,58,0,missing_have_scraper,crawl_now,https://www.szlhq.gov.cn/xxgk/xwzx/tzgg/content/post_12980800.html,crawl_now
szlhq,/bmxxgk/,33,0,0,needs_new_scraper,build_scraper,,build_scraper
szlhq,/jdbxxgkml/,6,0,0,needs_new_scraper,build_scraper,,build_scraper
szlg,/xxgk/,58,20,0,missing_have_scraper,crawl_now,https://www.lg.gov.cn/xxgk/zwgk/tzgg/content/post_12980900.html,crawl_now
szlg,/tzcy/,2,25,0,missing_have_scraper,crawl_now,https://www.lg.gov.cn/tzcy/tzdt/content/post_12321412.html,crawl_now
gz,/zwgk/,16,24,0,missing_have_scraper,crawl_now,https://www.gz.gov.cn/zwgk/fggw/zfgz/content/post_10918547.html,crawl_now
jieyang,/zwgk/,4,45,0,missing_have_scraper,crawl_now,http://www.jieyang.gov.cn/zwgk/jdhy/zcjd/ytdd/content/post_1046521.html,crawl_now
jieyang,/jyjczwgk/,2,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
jieyang,/swj/,2,56,0,missing_have_scraper,crawl_now,http://www.jieyang.gov.cn/swj/gzdt/content/post_1046954.html,crawl_now
jieyang,/jywjj/,2,46,0,missing_have_scraper,crawl_now,http://www.jieyang.gov.cn/jywjj/gzdt/content/post_1046899.html,crawl_now
jieyang,/zgb/,2,57,0,missing_have_scraper,crawl_now,http://www.jieyang.gov.cn/zgb/xxjl/xxdt/content/post_1047211.html,crawl_now
jieyang,/jgswj/,2,13,0,missing_have_scraper,crawl_now,http://www.jieyang.gov.cn/xwdt/zdgz/content/post_1046826.html,crawl_now
sh,/zhengce/,5,0,0,needs_new_scraper,build_scraper,,build_scraper
hrss,/tzgg/,11,21,0,missing_have_scraper,crawl_now,https://hrss.sz.gov.cn/xxgk/xxgknb/content/post_12602676.html,crawl_now
hrss,/xxgk/,5,39,0,missing_have_scraper,crawl_now,https://hrss.sz.gov.cn/xxgk/xxgknb/content/post_12602676.html,crawl_now
qbitai,/wp-content/,3,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
sz_invest,-,0,0,0,HOMEPAGE_UNREACHABLE,sweep_unreliable,<urlopen error all TLS contexts failed for https://www.sz.gov.cn>,sweep_unreliable
swj,/xxgk/,52,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
zjj,/gkyjzj/,3,8,0,missing_have_scraper,crawl_now,http://zjj.sz.gov.cn/fzlm/mobile/content/post_3743101.html,crawl_now
zjj,/zcjzts/,3,6,0,missing_have_scraper,crawl_now,http://zjj.sz.gov.cn/fzlm/mobile/content/post_3743101.html,crawl_now
zhuhai,/zwgk/,4,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
sf,/xxgk/,28,26,0,missing_have_scraper,crawl_now,https://sf.sz.gov.cn/hdjl/zwwx/content/post_8261745.html,crawl_now
people,/GB/,35,27,0,missing_have_scraper,crawl_now,http://opinion.people.com.cn/GB/8213/49160/index.html,crawl_now
stic,/xxgk/,46,24,0,missing_have_scraper,crawl_now,https://stic.sz.gov.cn/xxgk/tzgg/content/post_12671800.html,crawl_now
stic,/2022gb/,3,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
szpsq,/zwgk/,56,45,0,missing_have_scraper,crawl_now,https://www.szpsq.gov.cn/wzasm/content/post_12928913.html,crawl_now
